pixel,wavelength_nm,background_mean,illuminated_mean,subtracted
82,521.591491,137.250000,298.958333,161.708333
83,523.966659,134.416667,264.750000,130.333333
84,526.336478,137.000000,240.583333,103.583333
85,528.700921,134.041667,218.125000,84.083333
86,531.059959,134.583333,201.541667,66.958333
87,533.413567,133.916667,187.833333,53.916667
88,535.761716,132.041667,174.250000,42.208333
89,538.104382,131.916667,166.583333,34.666667
90,540.441539,131.041667,160.958333,29.916667
91,542.773160,128.916667,153.166667,24.250000
92,545.099221,130.875000,150.875000,20.000000
93,547.419698,129.083333,145.958333,16.875000
94,549.734566,129.166667,143.625000,14.458333
95,552.043802,128.916667,141.666667,12.750000
96,554.347381,125.500000,136.625000,11.125000
97,556.645281,127.291667,136.541667,9.250000
98,558.937478,128.125000,136.375000,8.250000
99,561.223951,125.416667,132.375000,6.958333
100,563.504678,126.875000,133.333333,6.458333
101,565.779637,125.125000,131.125000,6.000000
102,568.048806,123.750000,129.750000,6.000000
103,570.312166,125.291667,131.208333,5.916667
104,572.569694,123.625000,129.083333,5.458333
105,574.821372,123.375000,128.375000,5.000000
106,577.067179,124.250000,128.541667,4.291667
107,579.307096,122.291667,126.625000,4.333333
108,581.541104,124.750000,128.833333,4.083333
109,583.769185,121.875000,126.166667,4.291667
110,585.991319,122.166667,126.125000,3.958333
111,588.207490,123.041667,126.708333,3.666667
112,590.417679,120.666667,124.333333,3.666667
113,592.621869,121.416667,125.083333,3.666667
114,594.820044,121.541667,124.750000,3.208333
115,597.012187,120.500000,123.708333,3.208333
116,599.198282,123.125000,126.041667,2.916667
117,601.378313,121.291667,124.250000,2.958333
118,603.552264,121.375000,124.166667,2.791667
119,605.720121,123.041667,126.583333,3.541667
120,607.881869,120.708333,123.875000,3.166667
121,610.037494,122.416667,125.500000,3.083333
122,612.186981,122.791667,126.041667,3.250000
123,614.330317,120.958333,124.541667,3.583333
124,616.467489,123.416667,127.125000,3.708333
125,618.598484,122.458333,126.208333,3.750000
