pixel,background_mean,illuminated_mean,subtracted
257,140.666667,148.541667,7.875000
258,141.500000,149.166667,7.666667
259,138.916667,146.583333,7.666667
260,141.541667,148.541667,7.000000
261,140.375000,146.666667,6.291667
262,138.625000,145.500000,6.875000
263,139.291667,145.958333,6.666667
264,137.500000,144.416667,6.916667
265,137.083333,144.125000,7.041667
266,139.625000,146.125000,6.500000
267,136.166667,142.833333,6.666667
268,137.500000,143.833333,6.333333
269,137.041667,143.166667,6.125000
270,135.916667,141.541667,5.625000
271,139.000000,144.666667,5.666667
272,135.583333,141.458333,5.875000
273,137.250000,141.541667,4.291667
274,137.250000,141.958333,4.708333
275,134.083333,139.166667,5.083333
276,136.875000,142.083333,5.208333
277,136.000000,141.458333,5.458333
278,133.083333,138.500000,5.416667
279,135.166667,140.166667,5.000000
280,133.958333,139.166667,5.208333
281,134.958333,139.750000,4.791667
282,134.833333,139.500000,4.666667
283,132.750000,137.583333,4.833333
284,133.791667,139.041667,5.250000
285,132.291667,137.333333,5.041667
286,131.833333,137.000000,5.166667
287,132.958333,137.833333,4.875000
